id,type,name,status,description,epic,duration,startTime
1,TASK,Task #1,NEW,Task1 description,30,2024-02-11 10:01,
2,TASK,Task #2,IN_PROGRESS,Task2 description,30,2024-02-11 11:01,
3,TASK,Task #3,IN_PROGRESS,Task3 description,30,2024-02-11 12:01,
10,TASK,Task #4,IN_PROGRESS,Task4 description,30,2024-03-03 01:01,
11,TASK,Task #5,IN_PROGRESS,Task5 description,30,2024-02-02 01:01,
6,SUBTASK,Subtask #1-1,NEW,Subtask1 description,4,30,2024-02-11 13:01,
7,SUBTASK,Subtask #2-1,NEW,Subtask2 description,5,30,2024-02-11 14:01,
8,SUBTASK,Subtask #4-1,NEW,Subtask3 description,5,90,2024-02-11 16:01,
12,SUBTASK,Subtask #3-1,NEW,Subtask3 description,4,30,2024-02-11 15:01,
4,EPIC,Epic #1,NEW,Epic1 description,60,2024-02-11 13:01,
5,EPIC,Epic #2,NEW,Epic2 description,120,2024-02-11 14:01,

10,1,2,3,4,5,6,7,8
